Ubigeo,Departamento,Provincia,Distrito,Prov + Distrito,Pob. Rural ('000s),Pob. Urbana  ('000s),Education Centres Rural - 2019,Education Centres  Urban - 2019,Non-reading population 2017,Teachers - Elementary,Teachers - Secondary,Average Years of Study,Budget 2022 (S/ Mn),Expenses 2022 (S/ Mn),Income 2022 (S/ Mn),Distritos's suspicious money laundry operations 2022,People with cellphone 2022,People with internet 2022,Poverty (%),Men Illiteracy (#),Women Illiteracy (#),Agricultural Tipology 2,Area KM2,Discrimination %,*EC_Rural,*EC_Urban,*EC_SQKM,*Pop_Density,*Teachers_Pop,*Teachers_EC,*D_Month-Income_PerCapita - Pounds,*Pop_Total,*Illiteracy_Total,*Illiteracy_Pop,*Cel_Pop,*Int_Pop,Income_Zscore,_classPoverty (%),_class*D_Month-Income_PerCapita - Pounds,_class*EC_SQKM,_class*Illiteracy_Pop,_class*Teachers_EC,_classDiscrimination %,_classDistritos's suspicious money laundry operations 2022,_class*Cel_Pop,_class*Int_Pop,Vulnerability_Score,EC_SQKM_Category,Teachers_EC_SCategory,Total Education Centres - 2019,Poverty (%) Normalized
10202,AMAZONAS,BAGUA,ARAMANGO,BAGUAARAMANGO,7552,2935,98,16,1002,119,113,6.5,30.7453,24.2207,7.3369,473.0,6678.3,106.38,38.5,322,680,1.0,671.3213087,5.9,77.06122448979592,183.4375,169.81436239638907,15.621431740797654,2.212262801563841,2.0350877192982457,12.243325069133213,10487,1002,0.09554686755030037,63.68170115380948,1.0143987794412128,-0.3359579771947789,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,114,48.29064039408867
10201,AMAZONAS,BAGUA,BAGUA,BAGUABAGUA,2595,26241,8,53,1140,179,211,9.8,175.69562,24.1128,22.9181,473.0,24762.9,3215.04,16.2,324,817,1.0,216.19411110000001,5.9,324.375,495.1132075471698,282.153846326483,133.3801362732863,1.3524760715771953,6.39344262295082,13.908543140518796,28836,1141,0.0395685948120405,85.87494798168956,11.149396587598835,-0.3236289912421301,0,1,0,1,0,1,1,1,0,5,Below Mean,Above Mean,61,20.827586206896548
10203,AMAZONAS,BAGUA,COPALLIN,BAGUACOPALLIN,2505,2467,30,12,546,48,34,6.7,18.23865,3.3114,3.6465,473.0,4085.7799999999997,122.14,24.5,175,371,1.0,71.2182598,5.9,83.5,205.58333333333334,589.7363979118176,69.81355643851326,1.6492357200321803,1.9523809523809523,12.83462389380531,4972,546,0.10981496379726469,82.17578439259854,2.4565567176186645,-0.33158010319228615,0,1,0,0,1,1,1,1,1,6,Below Mean,Below Mean,42,31.04926108374384
10204,AMAZONAS,BAGUA,EL PARCO,BAGUAEL PARCO,622,671,5,4,106,8,8,7.4,8.91031,3.4298,2.5949,473.0,949.54,11.82,35.2,31,74,1.0,11.6211184,5.9,124.4,167.75,774.4521387889827,111.26295727268383,1.237432327919567,1.7777777777777777,35.12045630317091,1293,105,0.08120649651972157,73.43696829079659,0.9141531322505801,-0.16657966304601088,1,1,0,1,1,1,1,1,1,8,Below Mean,Below Mean,9,44.22660098522167
10205,AMAZONAS,BAGUA,IMAZA,BAGUAIMAZA,24475,5377,301,22,2192,414,304,7.2,68.33139,13.7083,16.5695,473.0,7257.48,82.74,53.9,538,1654,1.0,3748.8115766,5.9,81.31229235880399,244.4090909090909,86.16063875180042,7.963056928850607,2.405198981642771,2.222910216718266,9.713461409620797,29852,2192,0.07342891598552861,24.31153691544955,0.2771673589709232,-0.35468864920477705,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,323,67.25615763546797
10206,AMAZONAS,BAGUA,LA PECA,BAGUALA PECA,2578,4175,75,27,623,88,73,7.3,19.87097,9.2884,4.3358,473.0,5535.7,220.64,34.8,193,431,1.0,0.0,5.9,34.373333333333335,154.62962962962962,1127.1048963584876,,2.3841255738190434,1.5784313725490196,11.235969198874574,6753,624,0.09240337627721013,81.97393750925515,3.267288612468532,-0.3434162654437185,1,1,0,1,1,1,1,1,1,8,Below Mean,Below Mean,102,43.733990147783246
10302,AMAZONAS,BONGARA,CHISQUILLA,BONGARACHISQUILLA,198,126,2,2,9,2,0,7.4,27.36946,3.5634,2.8699,473.0,319.14,7.88,42.2,2,7,1.0,132.6028241,5.9,99.0,63.0,30.16527006229877,2.4433868750462007,0.6172839506172839,0.5,155.01003086419752,324,9,0.027777777777777776,98.5,2.432098765432099,0.72106196541772,1,0,1,1,1,1,1,0,1,7,Below Mean,Below Mean,4,52.847290640394085
10303,AMAZONAS,BONGARA,CHURUJA,BONGARACHURUJA,10,287,0,3,16,3,0,8.7,4.18033,1.4495,1.4397,473.0,303.38,11.82,20.8,7,9,1.0,26.159036299999997,5.9,,95.66666666666667,114.6831238580452,11.353629261946475,1.0101010101010102,1.0,84.83080808080808,297,16,0.05387205387205387,100.0,3.9797979797979797,0.20146716475339993,0,0,1,1,1,1,1,0,1,6,Below Mean,Below Mean,3,26.492610837438423
10304,AMAZONAS,BONGARA,COROSHA,BONGARACOROSHA,725,80,7,2,56,10,8,7.0,4.96057,1.7027999999999999,1.5817,473.0,677.68,3.94,54.8,14,41,1.0,51.1566438,5.9,103.57142857142857,40.0,175.9302278543926,15.735981491420672,2.236024844720497,2.0,34.38478260869565,805,55,0.06832298136645963,84.18385093167701,0.48944099378881983,-0.1720264635586739,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,9,68.36453201970443
10305,AMAZONAS,BONGARA,CUISPES,BONGARACUISPES,314,394,3,3,55,3,0,6.7,4.41565,3.8323,0.9875,473.0,614.64,0.0,45.8,15,40,0.0,79.0213316,5.9,104.66666666666667,131.33333333333334,75.92886475732332,8.959606041364152,0.423728813559322,0.5,24.408545197740114,708,55,0.07768361581920905,86.8135593220339,0.0,-0.2458887960744491,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,6,57.28078817733989
